Wall time,Step,Value
1638593625.4924827,45428,5.011697292327881
1638593653.3728948,45572,5.030222415924072
1638593780.7158332,46275,3.3804993629455566
1638593820.323171,46493,5.0545806884765625
1638593841.6070242,46611,4.914337635040283
1638593892.300826,46891,5.03034782409668
1638593895.8705125,46911,4.995859146118164
1638593915.1405241,47018,4.819210529327393
1638593923.4218004,47064,4.9112982749938965
1638593924.1477005,47068,4.816155433654785
1638593927.0673263,47084,3.373504877090454
1638593933.8060932,47113,4.974677562713623
1638593942.3061268,47160,4.928171634674072
1638593945.7140713,47179,5.020730495452881
1638593968.4632893,47305,3.429173469543457
1638593976.4719183,47349,4.962394714355469
1638594012.2594068,47547,4.81084680557251
1638594026.4517558,47626,4.912818908691406
1638594053.8633657,47778,3.4632105827331543
1638594095.6339357,48000,5.163100719451904
1638594130.0026286,48190,5.097757816314697
1638594140.4529228,48248,4.937282562255859
1638594165.475293,48386,5.076347827911377
1638594188.1391783,48511,4.944029808044434
1638594212.1689866,48636,4.934131145477295
1638594223.1863637,48697,5.252878665924072
1638594226.9245207,48718,4.986260414123535
1638594249.5819197,48844,4.870621681213379
1638594307.7447855,49166,5.197391033172607
1638594326.3815103,49269,4.949379920959473
1638594334.5819857,49315,5.154645919799805
1638594365.0426009,49484,4.794361591339111
1638594402.6796815,49692,4.918673038482666
1638594413.689027,49753,4.996878623962402
1638594433.9941375,49865,5.039728164672852
1638594462.4919508,50011,5.068454265594482
1638594509.436915,50262,5.029307842254639
1638594553.3938425,50506,4.997326374053955
1638594577.4125242,50640,3.2378082275390625
1638594587.938324,50698,5.06833553314209
1638594788.2484255,51798,4.968669414520264
1638594812.3739395,51931,4.901535987854004
1638594813.510815,51937,5.177087783813477
1638594819.8544981,51972,4.995794773101807
1638594827.4475307,52014,4.907516002655029
1638594866.3775613,52230,4.984169960021973
1638594872.505852,52264,4.968553066253662
1638594888.6709998,52353,4.9960246086120605
1638594890.8539474,52365,4.953453540802002
1638594897.1209972,52400,4.9491143226623535
1638594924.1495721,52540,5.119356155395508
1638594925.5701807,52548,4.680683612823486
1638594947.2093804,52667,4.937100887298584
1638595001.3496418,52968,4.973511695861816
1638595023.5797322,53083,4.8626604080200195
1638595054.8778062,53255,4.892076015472412
1638595121.456651,53624,5.137742042541504
1638595197.3555465,54042,4.836638927459717
1638595272.8263102,54459,5.053436279296875
1638595297.0242906,54593,5.174365997314453
1638595329.9186137,54767,5.07133150100708
1638595387.383149,55080,3.094205856323242
1638595401.4466548,55149,5.133739948272705
1638595441.1128778,55368,4.986234188079834
1638595465.023383,55500,5.159782409667969
1638595480.8196125,55587,4.865518569946289
1638595488.5776806,55630,3.291220188140869
1638595504.7880664,55719,4.8174238204956055
1638595535.3549018,55871,5.055879592895508
